1,134,821,316,822,316,848,134,847, + Tiên mặt VND,OTHER
2,645,820,727,821,727,848,645,847, 48 000,OTHER
3,137,780,263,783,261,810,135,806, Tiền thừa:,OTHER
4,656,782,723,780,724,808,656,810, 2 000,OTHER
5,141,751,347,752,347,774,141,773, Tiên khách đưa:,OTHER
6,632,752,722,750,722,777,633,779, 50 000,OTHER
7,142,721,303,722,303,744,142,743, Thanh Toán:,TOTAL_COST
8,633,722,720,723,720,748,633,747, 48 000,TOTAL_COST
9,145,670,285,671,285,696,145,695, Thành tiên:,OTHER
10,628,673,716,671,717,697,629,699, 48 000,OTHER
11,150,628,216,628,215,659,149,659, (Vừa),OTHER
12,637,619,714,620,713,644,636,643, 48 000,OTHER
13,459,616,537,613,537,641,459,643, 48 000,OTHER
14,154,600,353,601,353,627,154,626, Trà đen macchiato,OTHER
15,635,561,708,561,708,587,635,587, T.Tiên,OTHER
16,462,559,526,559,526,586,462,586, Đ.Giá,OTHER
17,207,557,305,558,305,584,207,583, Tên món,OTHER
18,113,505,404,510,403,539,113,534, Khách hàng: Thuý Dương,OTHER
19,116,477,305,475,304,501,117,502, Thu ngân: cash1,OTHER
20,121,445,695,448,695,469,121,466, Thời gian:30.09.2020 07.57 Số HĐ: 19809052932020,TIMESTAMP
21,212,371,601,374,601,400,212,397, 403 Phan Huy Ich, P.14, Q.Gò Vấp,ADDRESS
22,190,319,624,322,624,358,190,355, The coffee house,SELLER
