1,48,1217,247,1228,246,1247,46,1236, Chụp băng Galaxy M21,OTHER
2,46,1184,307,1200,305,1227,45,1211, Samsung Triple Camera,OTHER
3,51,1154,113,1157,112,1181,50,1178,,OTHER
4,118,763,266,759,267,782,119,786, Số GD treo:061,OTHER
5,119,738,278,734,279,756,120,761, Tên NV:5156POS2,OTHER
6,117,711,206,708,206,733,118,735, Quẩy:001,OTHER
7,417,707,549,704,549,722,418,725, NVBH:09025438,OTHER
8,263,682,408,680,408,702,264,704, Giao dịch treo,OTHER
9,116,660,277,655,277,678,117,683, Ngày:09/08/2020,TIMESTAMP
10,397,654,548,652,548,674,397,676, Thời gian:20:08,TIMESTAMP
11,338,607,462,605,463,628,337,630, 02471066866-51561,OTHER
12,122,576,259,578,259,612,121,610, VinCommerce,SELLER
13,299,578,497,577,497,601,300,602, P. Cẩm Bình, TP. Cầm Phả, QNH,ADDRESS
14,330,551,468,549,468,573,330,575, Tổ 7, Khu Minh Tiến A,ADDRESS
15,300,522,499,521,499,547,300,549, VINH QNH TỔ 7, KHU MINH TIẾN A,ADDRESS
