1,41,961,238,962,238,980,41,979, Chụp băng Galaxy M21,OTHER
2,41,933,293,934,293,957,41,956, Samsung Triple Camera,OTHER
3,45,902,102,902,102,921,45,921,,OTHER
4,88,544,435,544,435,576,88,576, XIN CẢM ƠN QUÍ KHÁCHI,OTHER
5,18,500,227,503,226,529,18,526, Tổng số thanh toán;,TOTAL_COST
6,440,502,536,500,537,527,441,529, 84.000d,TOTAL_COST
7,18,461,242,464,242,490,18,486, Chiết khấu bán hàng:,OTHER
8,20,423,137,428,136,455,19,450, Tổng cộng:,OTHER
9,443,425,537,425,537,451,443,451, 84.000đ,OTHER
10,21,393,222,391,221,417,20,418, Bút lông kim FL-09,OTHER
11,309,391,373,392,372,416,308,415, 7.000,OTHER
12,465,391,539,391,538,415,464,415, 7.000d,OTHER
13,24,359,108,359,108,382,24,382, Bút TR1,OTHER
14,309,357,372,357,372,381,309,381, 4.000,OTHER
15,464,356,539,356,539,380,464,380, 4.0004,OTHER
16,24,324,145,323,145,349,25,350, bút Gel-012,OTHER
17,308,321,372,321,372,348,308,348, 6.000,OTHER
18,449,321,538,319,539,345,449,348, 18.0004,OTHER
19,23,291,136,291,137,315,23,315, Bút TL 093,OTHER
20,294,288,371,286,372,312,295,315, 55.000,OTHER
21,449,287,538,287,538,313,449,313, 55.0004,OTHER
22,34,249,130,254,129,281,33,276, Tên hàng,OTHER
23,417,249,536,249,536,275,417,275, Thốnh tiến,OTHER
24,38,217,367,214,367,240,38,242, Thời gian:16:40:27 - 14/08/2020,TIMESTAMP
25,38,184,402,182,402,208,38,209, IN ĐT 0333363328-- Fax 0333863328,OTHER
26,39,152,241,150,240,176,38,177, Nhân viên thu ngân,OTHER
27,40,114,435,106,435,132,40,140, Đa: 212 Đường Trần Phú-Cẩm Phản,ADDRESS
28,118,77,456,69,456,98,119,106, NHÀ SÁCH GD-TC CẨM PHẢ,SELLER
