261,882,541,882,541,900,261,900
352,865,465,866,464,884,352,883
222,841,597,843,596,861,221,859
547,809,602,810,601,829,546,828
200,804,322,806,322,827,200,825
547,783,603,784,603,804,547,804
199,780,282,780,281,803,198,804
545,747,605,748,604,770,544,769
199,747,292,750,290,773,197,770
196,723,268,723,268,747,195,746
541,686,598,687,597,709,540,709
441,688,488,686,488,707,441,709
341,689,377,688,377,706,341,707
203,688,271,688,270,709,202,708
443,661,489,659,489,679,444,681
204,663,301,663,300,682,203,682
206,638,554,634,554,653,206,656
292,618,312,617,313,625,293,626
307,608,583,607,584,628,308,629
212,610,292,613,292,631,212,628
297,578,511,577,512,599,297,600
302,517,499,514,500,532,303,536
325,495,480,490,481,505,326,510
