385,984,703,1001,700,1035,383,1018
343,924,744,936,743,969,341,957
436,884,648,891,646,921,434,915
295,843,795,852,795,890,295,882
588,794,885,794,884,834,588,833
111,789,332,791,331,828,111,826
695,736,788,735,788,770,695,771
893,732,990,727,992,763,895,767
190,738,457,735,457,765,190,768
816,677,982,675,983,709,817,711
701,680,768,679,769,712,702,713
311,675,457,682,456,717,310,711
480,632,998,628,997,662,480,667
96,588,352,582,353,616,97,622
93,535,604,535,604,570,93,571
91,486,850,470,851,509,92,524
340,414,737,406,738,452,341,460
483,359,765,356,765,386,483,389
265,299,986,292,987,341,266,347
457,254,794,255,794,294,457,292
