44,963,238,967,238,982,44,978
42,933,295,940,294,962,41,955
47,903,104,904,104,924,47,923
96,787,452,784,452,802,95,805
139,765,407,763,408,781,140,783
98,722,456,719,456,737,98,740
157,698,389,697,388,718,157,719
98,638,212,636,213,654,97,656
307,637,454,634,455,652,308,655
97,616,317,615,317,633,97,635
99,595,244,596,243,614,98,613
316,595,453,592,453,610,316,613
168,553,384,552,383,571,167,573
101,533,203,535,203,553,101,551
106,513,154,514,154,533,106,532
399,514,451,515,451,531,399,530
108,495,177,496,176,511,107,510
399,493,450,494,449,510,398,509
100,472,218,472,219,491,100,492
395,473,450,470,451,490,396,493
101,453,244,454,243,471,100,470
102,432,276,434,276,452,102,450
394,433,449,431,450,450,395,452
101,396,209,395,208,410,100,411
256,395,309,393,309,412,256,414
396,394,448,395,447,414,395,413
99,373,432,372,433,394,99,396
102,356,209,356,208,371,101,371
255,356,308,355,308,374,255,375
393,356,447,354,446,372,393,374
101,335,327,337,328,355,101,353
325,335,430,334,430,354,326,354
102,317,209,319,209,334,102,332
253,318,307,316,308,334,254,336
392,316,445,317,445,336,392,335
101,295,342,299,341,317,100,313
332,297,413,296,412,314,332,316
101,275,171,278,170,297,101,293
247,277,307,278,307,297,247,296
392,278,444,276,445,296,393,297
103,240,170,241,169,259,103,258
335,240,443,240,443,259,335,258
102,222,306,222,306,241,102,240
349,222,442,221,443,239,350,240
206,201,339,200,338,219,206,221
272,165,371,165,372,183,273,183
105,143,212,145,211,171,104,169
257,144,386,143,386,163,257,163
239,122,406,123,407,141,240,141
259,102,385,101,385,119,259,120
