235,1400,645,1410,644,1450,234,1440
709,1361,808,1371,804,1407,706,1398
70,1338,156,1344,154,1380,68,1374
709,1312,808,1321,804,1356,706,1346
71,1293,278,1300,277,1334,70,1327
709,1265,807,1272,805,1306,706,1299
73,1251,278,1252,278,1284,73,1283
77,1204,218,1205,217,1239,76,1238
709,1167,808,1171,806,1207,707,1203
76,1152,279,1158,278,1198,75,1192
732,1104,808,1104,808,1139,732,1139
395,1098,469,1098,469,1132,395,1132
81,1043,343,1048,342,1080,81,1075
734,983,806,983,806,1012,734,1012
399,982,469,982,469,1011,399,1011
88,923,365,930,364,964,87,957
402,868,472,868,472,897,402,897
730,858,805,858,805,892,730,892
94,811,329,816,328,849,93,843
402,753,474,753,474,787,402,787
726,740,803,732,806,768,728,775
100,699,390,707,389,740,100,732
405,645,473,645,473,673,405,673
726,620,804,613,807,649,729,656
106,589,353,599,352,631,105,622
384,533,493,531,494,565,385,567
650,510,801,495,803,530,654,544
114,463,210,464,210,498,114,497
114,423,404,427,404,459,114,455
123,267,305,276,303,309,121,299
575,250,797,220,802,252,578,282
319,222,592,192,597,237,323,268
387,135,532,110,537,144,393,169
