145,1167,817,1208,815,1251,142,1210
53,1125,872,1176,870,1214,51,1163
60,1064,237,1072,234,1123,58,1115
289,1048,408,1057,404,1104,286,1095
482,968,872,989,870,1029,480,1008
75,950,420,967,418,1007,73,990
481,933,656,945,653,981,478,968
80,920,231,930,229,960,78,950
676,909,779,916,776,962,673,955
260,894,356,900,353,945,257,938
141,799,632,809,631,849,140,839
111,778,299,781,298,811,111,808
477,730,564,730,564,771,477,771
71,727,155,731,153,773,69,769
615,707,820,707,820,745,615,745
214,706,393,706,393,740,214,740
483,680,592,680,592,711,483,711
71,680,180,677,181,713,72,716
209,656,305,656,305,693,209,693
614,653,720,653,720,694,614,694
204,556,335,560,334,599,203,596
591,537,762,548,759,598,588,587
63,540,178,535,179,570,65,575
480,528,601,529,601,569,480,568
616,502,731,499,732,533,617,536
65,483,318,476,319,511,66,517
478,473,751,465,752,497,479,506
201,434,292,434,292,477,201,477
644,420,752,414,754,457,646,463
289,358,646,341,648,375,291,392
206,287,738,263,741,326,209,350
92,244,368,223,370,253,95,274
523,212,840,204,841,237,524,245
98,211,358,192,360,216,100,235
489,172,869,166,870,194,489,201
46,192,419,166,421,190,48,217
49,170,415,143,417,168,51,194
454,144,903,139,903,172,454,177
55,141,412,116,414,141,56,166
82,110,384,88,386,116,84,139
