110,854,491,837,492,863,111,879
240,817,387,811,388,837,241,843
60,783,552,766,553,790,61,808
37,736,194,732,194,754,38,759
485,720,557,718,558,744,486,747
37,692,203,689,203,713,37,717
476,686,556,684,557,707,477,710
39,657,162,659,161,686,38,684
479,650,555,650,555,673,479,673
36,624,132,624,132,654,36,654
349,578,418,578,418,602,349,602
482,577,550,577,550,601,482,601
48,547,383,545,383,567,48,570
481,510,547,510,547,532,481,532
349,509,417,509,417,531,349,531
232,509,275,509,275,529,232,529
51,475,515,479,515,501,51,497
478,444,543,444,543,466,478,466
347,443,413,443,413,465,347,465
232,441,275,441,275,461,232,461
53,403,503,414,503,436,52,425
57,366,530,380,530,409,56,394
172,328,446,340,444,372,171,360
180,249,432,263,431,285,179,272
207,213,412,224,410,247,206,235
