227,1236,724,1227,724,1270,229,1278
84,1137,351,1136,352,1182,84,1183
741,1128,861,1125,862,1170,742,1173
403,1055,508,1054,509,1101,404,1102
756,1053,857,1049,859,1090,758,1094
93,998,574,998,574,1036,93,1036
399,930,515,927,517,969,401,972
734,927,850,926,851,967,735,968
98,873,551,867,551,911,99,917
411,803,507,805,506,848,410,846
749,805,845,807,844,848,748,846
107,750,502,751,502,789,106,788
410,687,510,685,510,732,411,734
741,688,838,690,837,731,740,729
118,629,561,639,560,677,117,667
401,580,516,579,517,619,401,620
672,581,830,578,831,612,673,615
606,471,822,465,824,495,607,501
124,450,317,458,316,493,123,484
327,404,631,412,631,441,327,434
313,303,645,312,644,341,313,332
318,219,641,230,639,260,317,249
