297,1354,357,1356,357,1370,297,1368
128,1289,398,1297,397,1337,127,1329
132,1231,268,1232,269,1273,132,1273
137,1175,277,1179,275,1219,135,1215
113,1122,703,1122,704,1166,114,1166
118,1073,518,1075,518,1114,117,1112
697,1071,846,1065,849,1112,699,1118
130,975,483,976,482,1014,130,1014
677,974,839,973,840,1014,677,1016
139,885,283,887,283,923,139,921
672,882,830,883,830,923,672,921
143,840,535,841,534,881,143,880
241,759,550,760,550,794,241,793
163,717,551,716,551,750,163,751
659,716,811,714,812,750,660,751
172,638,338,638,338,672,172,672
435,640,568,637,569,671,436,674
669,640,802,636,803,671,669,676
175,601,798,601,798,634,175,633
185,567,340,570,341,595,185,593
424,570,566,566,567,596,426,600
652,568,793,565,793,595,653,598
187,530,791,531,791,565,186,565
193,465,785,464,785,498,193,499
199,432,322,430,323,460,200,462
399,437,780,431,780,460,401,465
210,371,758,374,757,402,209,399
296,341,712,341,712,368,296,368
303,287,724,290,724,314,302,311
316,260,711,262,711,286,317,284
292,230,719,230,719,263,292,263
335,206,693,208,693,235,335,233
234,181,755,180,755,209,234,210
246,134,746,135,747,159,245,158
344,110,673,110,672,134,344,134
360,87,662,85,662,109,360,112
437,65,585,69,585,89,437,85
