125,914,548,888,550,918,128,943
274,871,434,861,436,891,275,901
71,833,615,811,617,840,72,862
37,780,222,776,223,801,38,805
534,764,616,762,617,786,535,788
534,724,616,722,617,745,535,746
330,727,386,726,387,754,331,755
50,732,230,727,231,752,51,757
530,687,613,685,614,708,531,710
50,691,172,691,173,724,51,724
526,640,607,638,608,661,527,663
52,641,182,643,182,674,52,671
55,603,156,607,156,637,54,634
517,560,598,562,597,586,516,584
399,561,461,559,462,585,400,587
265,562,312,561,313,582,266,583
66,560,163,562,163,584,66,582
401,529,461,528,461,551,401,552
70,523,209,528,207,552,68,548
74,490,464,499,464,525,73,516
360,466,572,470,572,493,360,489
191,461,369,467,369,489,191,483
86,455,198,463,197,485,83,477
205,419,486,430,484,462,204,451
67,370,108,369,109,389,68,390
214,346,467,360,465,381,213,368
242,312,443,325,442,349,240,335
8,20,196,16,198,91,10,95
