185,853,563,847,563,865,185,871
233,830,517,827,517,841,233,844
187,784,570,779,570,797,187,802
250,755,496,753,495,774,250,776
260,688,493,685,493,703,260,706
187,665,298,664,298,682,187,683
510,641,568,640,569,658,511,659
194,642,270,641,271,659,195,660
508,616,569,618,568,637,507,635
187,619,316,617,316,635,187,637
502,596,561,595,561,613,502,614
188,597,334,595,334,613,188,615
509,574,569,573,569,591,509,592
188,573,379,573,379,591,188,592
511,530,567,529,567,546,511,547
359,531,413,530,413,546,359,547
187,532,307,530,307,545,187,547
186,507,548,506,548,524,186,525
511,485,567,484,567,501,511,502
516,463,565,462,566,478,517,479
365,461,414,463,414,482,365,480
188,465,306,463,307,478,189,480
186,440,546,440,546,459,186,458
517,420,564,419,564,434,517,435
365,419,414,418,414,437,365,438
186,419,307,419,307,434,186,434
186,394,521,397,521,417,186,414
499,374,556,374,557,393,500,393
349,375,405,374,406,393,350,394
187,371,264,373,264,392,187,390
448,334,563,332,563,347,448,349
187,327,262,330,261,348,186,345
464,311,554,310,554,325,464,326
187,304,414,309,414,327,187,323
304,284,441,287,441,305,304,303
378,246,487,244,487,262,378,264
346,219,520,222,520,241,345,239
190,208,311,214,310,244,189,238
373,197,493,197,493,217,373,216
347,173,520,175,520,193,347,192
