117,781,594,786,593,812,117,806
271,754,456,754,456,780,271,780
43,713,687,715,687,740,43,738
609,656,705,656,705,686,609,686
340,655,408,655,408,686,340,686
8,655,208,655,208,677,8,677
1,608,156,614,155,647,0,641
610,609,706,607,707,637,610,639
2,565,112,569,110,604,1,600
409,505,506,505,506,535,409,535
243,506,305,503,306,531,244,534
607,503,704,503,704,534,607,534
5,463,649,459,649,487,6,492
19,417,150,420,149,446,18,442
190,415,679,411,680,440,190,445
167,361,551,356,551,392,167,397
184,265,525,263,525,286,184,287
222,223,493,219,493,244,223,249
