306,945,431,942,431,956,307,959
343,894,386,894,386,914,343,914
513,895,588,894,587,914,513,914
139,880,269,887,267,908,137,900
514,867,588,868,588,887,514,886
137,850,221,853,220,880,136,876
510,825,587,826,587,849,510,848
138,812,233,818,231,844,137,837
142,787,210,787,209,811,141,811
517,756,582,757,582,779,517,778
403,754,455,755,455,775,403,774
292,751,330,752,330,771,292,770
148,750,216,750,216,769,148,769
148,720,246,721,246,740,148,739
403,722,455,720,456,744,404,747
151,691,521,695,521,713,151,709
385,659,452,660,452,679,385,678
294,659,330,660,330,678,294,677
503,660,577,657,578,680,504,683
150,631,488,628,488,650,151,654
393,597,452,598,452,617,393,616
511,595,573,591,575,615,512,619
152,572,529,567,530,589,153,594
152,542,222,542,222,561,152,561
402,536,462,533,463,555,402,558
504,527,574,532,571,560,501,555
152,514,253,513,254,532,153,533
399,508,452,505,454,528,401,531
295,453,331,454,331,470,295,469
395,451,449,448,449,469,396,472
508,449,568,445,568,465,509,469
156,432,500,425,500,444,157,451
297,402,331,400,333,416,298,418
401,400,448,398,449,417,402,419
509,400,565,400,565,417,509,417
161,381,497,379,497,397,161,399
166,357,233,358,232,373,165,372
303,355,335,356,334,372,302,371
403,354,450,355,449,374,402,373
503,354,561,351,560,371,503,373
168,334,263,335,263,353,168,352
402,333,450,331,451,350,403,352
171,310,449,312,449,330,171,328
394,286,449,287,449,306,394,305
499,288,555,285,556,303,500,306
176,261,466,264,465,282,175,279
379,239,544,241,544,259,379,257
274,237,379,238,379,256,274,255
181,233,283,239,282,257,180,251
261,205,476,209,476,231,261,227
301,166,353,171,350,191,300,186
269,144,466,148,466,167,269,163
291,116,449,119,449,138,290,135
