269,983,359,980,360,1006,270,1009
78,977,276,970,277,991,78,998
74,945,372,942,372,970,74,974
77,920,136,918,137,938,78,940
383,904,441,904,441,925,383,924
178,881,232,879,233,903,179,905
383,840,442,842,441,861,382,859
179,817,236,815,236,838,180,840
383,800,442,800,442,820,383,820
179,798,235,798,235,818,179,817
242,779,301,781,300,800,241,798
385,762,444,762,444,782,385,782
176,739,228,737,228,757,177,759
384,695,443,696,442,716,383,715
175,672,233,673,233,693,175,692
382,652,440,652,440,671,382,671
178,652,233,650,234,669,178,671
380,607,439,607,439,629,380,630
177,584,230,585,230,605,177,605
381,544,438,546,437,568,379,564
181,521,236,522,235,542,180,542
380,505,437,505,437,524,380,524
181,501,237,502,238,522,181,521
251,462,369,463,368,484,250,483
368,445,434,446,435,465,368,464
183,425,234,423,235,443,184,445
368,384,435,384,434,404,367,404
183,363,239,363,239,382,183,382
368,346,433,344,434,362,369,365
184,342,239,343,239,362,184,361
271,320,346,323,346,344,271,342
271,300,347,299,346,323,270,323
314,271,365,273,364,293,313,291
218,219,402,223,402,245,217,241
388,195,433,193,433,212,388,214
235,193,297,193,297,212,234,212
187,195,244,192,244,212,187,215
387,154,432,155,432,174,387,173
185,156,283,154,283,172,186,174
352,134,433,136,432,155,352,153
186,139,249,136,250,154,186,157
386,117,432,117,432,136,386,135
187,116,249,117,248,136,186,136
332,100,431,99,431,116,332,117
321,80,432,81,431,98,321,97
186,82,262,80,263,98,187,100
367,64,429,64,429,81,366,80
188,62,245,62,245,83,187,82
259,12,346,14,345,39,259,37
