74,981,655,977,656,1009,74,1013
58,922,328,924,328,953,58,950
586,918,655,914,657,944,588,949
58,882,246,884,245,911,58,909
58,837,241,841,241,867,58,864
56,802,188,802,188,825,56,825
55,764,286,755,287,782,56,791
48,727,358,714,359,739,49,751
35,663,307,655,308,680,35,688
345,655,405,655,405,682,345,682
576,652,657,649,658,677,577,680
35,622,229,617,229,645,35,650
346,618,405,618,405,645,346,645
576,615,656,612,657,640,577,642
32,579,165,576,166,610,33,614
572,574,653,571,654,598,573,601
34,525,183,527,183,560,34,558
568,523,648,523,648,550,568,550
37,486,145,489,145,520,36,517
556,441,635,441,635,467,556,467
413,441,481,441,481,468,413,468
265,438,316,441,314,465,264,463
49,399,604,403,604,432,49,428
553,363,631,363,631,389,553,389
410,363,477,360,478,387,411,390
263,361,315,361,315,384,263,384
53,354,155,358,154,383,52,379
412,325,478,325,478,352,412,352
55,317,201,321,200,347,54,342
59,281,623,292,623,317,59,306
370,249,610,257,609,284,370,276
216,248,336,251,336,273,216,271
69,246,186,250,185,272,68,269
196,200,511,207,510,240,195,233
205,118,491,123,491,145,205,141
236,81,466,84,466,107,236,103
